Time,Velx1,Vely1,Velx2,Vely2,Velx3,Vely3
16.49823,0.04412713,0.5525376,0.04727088,0.5332148,0.03813478,0.566466
16.59944,0.04420081,0.5550428,0.0473616,0.5355952,0.03818605,0.5688196
16.6969,0.04423679,0.5575757,0.04742592,0.5380343,0.03819364,0.5711746
16.79808,0.04428085,0.5600622,0.04748169,0.5405038,0.03821739,0.5734581
16.89928,0.04428167,0.562664,0.04751059,0.5430213,0.0382067,0.5758669
16.99677,0.04428974,0.5650282,0.0475189,0.5454427,0.03818585,0.5779637
17.09795,0.0442767,0.5675221,0.04751978,0.5479014,0.03816588,0.5801395
17.19906,0.04427486,0.5699472,0.04749547,0.5504077,0.03818778,0.5822446
17.29646,0.04427988,0.5722501,0.04747278,0.5527014,0.03823051,0.5842035
17.39761,0.04430498,0.5746489,0.04744355,0.5551639,0.03836884,0.5863317
17.49868,0.0443576,0.5770232,0.04741811,0.5575171,0.038549,0.5884137
17.59981,0.04443128,0.5793895,0.04739486,0.5599356,0.03882801,0.5905625
17.69728,0.04453624,0.5816975,0.04738515,0.5622019,0.03914074,0.5927174
17.79843,0.04467141,0.5840364,0.04740971,0.5645837,0.03951013,0.5948758
17.89956,0.04483471,0.5864423,0.04744279,0.5669056,0.03991297,0.5972731
17.99698,0.04500565,0.5886686,0.0475016,0.5691148,0.04029542,0.5994696
18.09816,0.04519642,0.5910737,0.04757809,0.5714241,0.04067751,0.6019345
18.19937,0.04540511,0.5933704,0.04768234,0.5736704,0.04105734,0.6043408
18.29671,0.04560254,0.5957003,0.04781601,0.5759183,0.04136345,0.606763
18.39783,0.04581907,0.5979766,0.04796452,0.5781719,0.04166111,0.6091406
18.49891,0.0460216,0.6003862,0.04815776,0.5805452,0.04189554,0.6116126
18.59632,0.04621798,0.6025794,0.04831824,0.5827486,0.04209353,0.6138517
18.6974,0.04640896,0.6049507,0.04852157,0.5851635,0.04227875,0.6161845
18.79858,0.04661176,0.6072254,0.04871125,0.5875106,0.04245082,0.6183735
18.89976,0.046823,0.6095078,0.04892504,0.5899277,0.04263413,0.6205007
18.9972,0.04703578,0.6116827,0.049144,0.5922318,0.04281105,0.6224148
