Time	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	MEAN	STDEV
73.99996	2.331879	2.5246	2.237222	2.214259	2.361118	2.727455	1.863049	1.346608	1.983203	2.51204	2.2101433	0.396326006587744
74.99995	2.39233	2.585652	2.299745	2.244652	2.393588	2.775037	1.904293	1.354883	2.032009	2.560865	2.2543054	0.407761389703777
75.99984	2.44844	2.641827	2.360103	2.273918	2.4273	2.817081	1.947681	1.365825	2.080142	2.609987	2.2972304	0.417388069533538
76.99979	2.507821	2.689185	2.414573	2.304193	2.458665	2.866095	1.966627	1.376971	2.131718	2.659243	2.3375091	0.429452150718266
77.99997	2.566187	2.738636	2.452871	2.332564	2.480861	2.916629	1.987437	1.397277	2.181031	2.703726	2.3757219	0.438817062554786
78.99993	2.622797	2.785069	2.484051	2.361515	2.502447	2.966551	2.006484	1.412972	2.230502	2.747163	2.4119551	0.449053240923971
79.99998	2.679088	2.829543	2.514313	2.391406	2.516654	3.009918	2.038531	1.431853	2.281246	2.788409	2.4480961	0.455941871155243
80.9997	2.732661	2.872887	2.559119	2.420882	2.508778	3.057942	2.067861	1.46231	2.336299	2.829	2.4847739	0.460744834905986
81.99982	2.785894	2.924897	2.616957	2.446711	2.46588	3.1027	2.095133	1.490973	2.390459	2.872644	2.5192248	0.46814321029403
82.99975	2.842093	2.977093	2.68111	2.456648	2.44195	3.147558	2.112267	1.52271	2.443617	2.91499	2.5540036	0.477690185884626
83.99992	2.892958	3.025607	2.744347	2.462452	2.458469	3.190529	2.12981	1.550455	2.493061	2.952346	2.5900034	0.48679044284127
84.99974	2.944013	3.076695	2.802737	2.476038	2.485028	3.232507	2.146837	1.574183	2.514343	2.992228	2.6244609	0.497570697717409
85.9998	2.994755	3.12581	2.857196	2.501439	2.51197	3.275774	2.14151	1.602499	2.524727	3.023118	2.6558798	0.508951227778109
86.99998	3.044617	3.176542	2.904384	2.527004	2.536948	3.317232	2.157766	1.639429	2.544026	3.046784	2.6894732	0.515042861150582
87.99987	3.093894	3.224618	2.946818	2.551546	2.558701	3.357172	2.165103	1.684976	2.558297	3.070856	2.7211981	0.52011574877125
88.99981	3.133086	3.270816	2.994961	2.5757	2.579523	3.394034	2.173249	1.728471	2.573732	3.102321	2.7525893	0.525307257751764
89.99983	3.170165	3.311395	3.042091	2.599191	2.609736	3.429009	2.209825	1.772787	2.596825	3.128155	2.7869179	0.524940149078276
90.99981	3.202632	3.349947	3.092659	2.620774	2.639663	3.463488	2.249549	1.816358	2.624761	3.147942	2.8207773	0.523476947109963
91.99978	3.235958	3.388706	3.141772	2.634546	2.662822	3.491209	2.290395	1.860958	2.664745	3.165312	2.8536423	0.520883212153496
92.9999	3.268817	3.41953	3.189665	2.628354	2.682105	3.492487	2.33014	1.907347	2.705107	3.175651	2.8799203	0.514478057826257
93.99982	3.297329	3.444516	3.234125	2.608869	2.690506	3.492648	2.361115	1.952834	2.74209	3.175123	2.8999155	0.509251390423073
94.99981	3.305603	3.439641	3.273208	2.607144	2.710774	3.50553	2.394135	1.997093	2.77328	3.175538	2.9181946	0.499227989832791
95.99995	3.317073	3.434572	3.311451	2.603643	2.729244	3.515125	2.429407	2.025311	2.803807	3.188936	2.9358569	0.493377411934301
96.99994	3.311012	3.436594	3.351379	2.613952	2.756235	3.531222	2.455785	2.028058	2.822226	3.20437	2.9510833	0.493484741136396
97.99969	3.310328	3.437161	3.394709	2.62603	2.782913	3.542446	2.47854	2.052671	2.844954	3.220329	2.9690081	0.489531330187115
98.99989	3.303622	3.434809	3.434327	2.643134	2.811683	3.568792	2.51236	2.077072	2.87239	3.231362	2.9889551	0.484700108173532
99.99995	3.275574	3.426782	3.47366	2.662809	2.837808	3.594176	2.55332	2.098855	2.900494	3.227451	3.0050929	0.477080029796877
