Time	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	MEAN	STDEV
87.99982	130.9149	115.7815	142.0876	125.4871	116.4963	107.8653	105.6623	137.407	96.58365	108.9244	118.721005	14.8235449092248
88.99971	133.6433	118.3453	143.8901	127.9542	118.4326	110.4241	108.0239	139.5189	99.54469	111.8201	121.159719	14.5805573138283
89.99971	136.2055	121.0558	145.99	130.4143	120.5515	113.1541	110.2238	141.4669	102.2649	114.5994	123.59262	14.3985884231599
90.99991	138.5502	123.681	147.4532	132.7462	122.7635	115.8385	112.3432	143.6792	104.9512	117.3083	125.93145	14.142057992641
91.99992	140.7815	126.299	149.9042	135.0015	125.1049	118.9671	114.8035	145.8531	107.2959	119.8386	128.38493	14.0305907737383
92.99984	142.7129	128.7489	152.1133	136.8201	127.17	122.095	116.8213	147.7206	108.9545	122.0782	130.52348	13.9833960028631
93.99973	144.9533	130.9877	153.4383	138.614	129.5092	125.0816	119.1003	149.8351	110.7841	124.3477	132.66513	13.8040572107583
94.99982	146.9662	133.5417	154.0715	140.1154	131.9345	127.9893	121.9605	151.7804	112.082	126.8049	134.72464	13.4866178801391
95.99974	148.1942	136.1158	155.707	141.8752	134.1758	130.6235	124.9451	153.9043	113.7067	128.8038	136.80514	13.2869986279153
96.99998	149.7829	138.7304	157.5155	144.0846	135.7555	133.2209	127.8536	156.0127	115.9113	130.5929	138.94603	13.1079185388112
97.99989	151.9144	141.3376	157.9961	146.282	137.5821	135.8095	130.6949	157.2376	118.1472	132.8944	140.98958	12.6158332802519
98.99988	154.1144	144.3566	157.97	148.6223	139.9125	138.7104	133.703	157.9912	120.399	135.4617	143.12411	11.9613365753953
99.9998	155.8562	147.5351	112.2639	150.9124	142.178	141.6037	136.7777	157.9337	123.0882	138.3514	140.65003	14.2219952861795
