Time Velx1 Vely1 Velx2 Vely2 Velx3 Vely3
1.479737e+01 -6.248510e-03 4.931621e-01 -7.659422e-03 4.679356e-01 -4.454584e-03 5.485931e-01
1.489747e+01 -6.947893e-03 4.959204e-01 -8.147054e-03 4.710455e-01 -5.712588e-03 5.504009e-01
1.499752e+01 -7.670179e-03 4.987827e-01 -8.684168e-03 4.742932e-01 -6.867882e-03 5.522560e-01
1.509754e+01 -8.414159e-03 5.016181e-01 -9.235017e-03 4.774062e-01 -8.080486e-03 5.543870e-01
1.519753e+01 -9.168286e-03 5.044848e-01 -9.835413e-03 4.806049e-01 -9.226738e-03 5.563484e-01
1.529748e+01 -9.950983e-03 5.073398e-01 -1.045320e-02 4.837432e-01 -1.038355e-02 5.585278e-01
1.539740e+01 -1.071794e-02 5.101799e-01 -1.108568e-02 4.868861e-01 -1.153515e-02 5.605902e-01
1.549728e+01 -1.151119e-02 5.130983e-01 -1.174790e-02 4.901031e-01 -1.262451e-02 5.627357e-01
1.559713e+01 -1.229999e-02 5.159375e-01 -1.241527e-02 4.932216e-01 -1.373409e-02 5.649219e-01
1.569988e+01 -1.311765e-02 5.189649e-01 -1.313138e-02 4.965733e-01 -1.480228e-02 5.670554e-01
1.579964e+01 -1.392031e-02 5.217949e-01 -1.382108e-02 4.997187e-01 -1.583958e-02 5.691845e-01
1.589936e+01 -1.470443e-02 5.246326e-01 -1.453124e-02 5.028755e-01 -1.679618e-02 5.711968e-01
1.599902e+01 -1.549679e-02 5.274707e-01 -1.526492e-02 5.060309e-01 -1.769956e-02 5.732762e-01
1.609863e+01 -1.629615e-02 5.302883e-01 -1.602318e-02 5.091331e-01 -1.859482e-02 5.753996e-01
1.619817e+01 -1.710133e-02 5.331757e-01 -1.681370e-02 5.123150e-01 -1.941301e-02 5.775424e-01
1.629770e+01 -1.791809e-02 5.359675e-01 -1.761212e-02 5.153732e-01 -2.024084e-02 5.796853e-01
1.639735e+01 -1.874066e-02 5.388447e-01 -1.843055e-02 5.185081e-01 -2.103524e-02 5.818920e-01
1.649726e+01 -1.955751e-02 5.416447e-01 -1.926067e-02 5.215759e-01 -2.178028e-02 5.839837e-01
1.659791e+01 -2.038223e-02 5.444600e-01 -2.011815e-02 5.246403e-01 -2.246433e-02 5.861130e-01
1.669907e+01 -2.121225e-02 5.473062e-01 -2.100043e-02 5.277408e-01 -2.308968e-02 5.881841e-01
1.679721e+01 -2.202655e-02 5.500253e-01 -2.189944e-02 5.307282e-01 -2.361032e-02 5.901014e-01
1.689828e+01 -2.288938e-02 5.529083e-01 -2.287035e-02 5.339035e-01 -2.411695e-02 5.922124e-01
1.699932e+01 -2.380248e-02 5.557502e-01 -2.389578e-02 5.370930e-01 -2.466365e-02 5.941601e-01
1.709737e+01 -2.471864e-02 5.584836e-01 -2.492856e-02 5.401664e-01 -2.516662e-02 5.960153e-01
1.719837e+01 -2.567915e-02 5.614180e-01 -2.601523e-02 5.434609e-01 -2.570303e-02 5.980228e-01
1.729936e+01 -2.664664e-02 5.643364e-01 -2.712551e-02 5.467291e-01 -2.622256e-02 6.000447e-01
1.739731e+01 -2.759503e-02 5.671929e-01 -2.821659e-02 5.498998e-01 -2.673316e-02 6.020981e-01
1.749812e+01 -2.856562e-02 5.702358e-01 -2.932937e-02 5.532732e-01 -2.725753e-02 6.043026e-01
1.759881e+01 -2.953459e-02 5.732024e-01 -3.044845e-02 5.565717e-01 -2.779152e-02 6.064621e-01
1.769941e+01 -3.052022e-02 5.761686e-01 -3.158795e-02 5.598612e-01 -2.834992e-02 6.086333e-01
1.779991e+01 -3.150739e-02 5.792147e-01 -3.274119e-02 5.632310e-01 -2.886942e-02 6.108873e-01
1.789738e+01 -3.248486e-02 5.821003e-01 -3.389459e-02 5.664048e-01 -2.935958e-02 6.131042e-01
1.799772e+01 -3.349499e-02 5.851311e-01 -3.510412e-02 5.697198e-01 -2.982318e-02 6.154618e-01
1.809805e+01 -3.450254e-02 5.881786e-01 -3.632286e-02 5.730800e-01 -3.025275e-02 6.177661e-01
1.819851e+01 -3.551465e-02 5.911878e-01 -3.755629e-02 5.764009e-01 -3.064853e-02 6.200573e-01
1.829932e+01 -3.653387e-02 5.942274e-01 -3.880756e-02 5.797538e-01 -3.101725e-02 6.223795e-01
1.839745e+01 -3.750457e-02 5.972111e-01 -4.002729e-02 5.830461e-01 -3.131782e-02 6.246188e-01
1.849891e+01 -3.850892e-02 6.002741e-01 -4.130028e-02 5.864174e-01 -3.157667e-02 6.269617e-01
1.859752e+01 -3.948750e-02 6.032404e-01 -4.254860e-02 5.896603e-01 -3.182253e-02 6.293148e-01
1.869909e+01 -4.051594e-02 6.063563e-01 -4.385458e-02 5.930782e-01 -3.212149e-02 6.316594e-01
1.879765e+01 -4.154618e-02 6.093786e-01 -4.515245e-02 5.964102e-01 -3.244560e-02 6.339326e-01
1.889912e+01 -4.262800e-02 6.124284e-01 -4.649901e-02 5.997940e-01 -3.282213e-02 6.362040e-01
1.899759e+01 -4.371575e-02 6.154315e-01 -4.781797e-02 6.031578e-01 -3.328923e-02 6.383553e-01
1.909908e+01 -4.487679e-02 6.185449e-01 -4.918884e-02 6.066579e-01 -3.390709e-02 6.405016e-01
1.919750e+01 -4.605084e-02 6.214829e-01 -5.054014e-02 6.099493e-01 -3.460544e-02 6.425770e-01
1.929880e+01 -4.727648e-02 6.245842e-01 -5.192493e-02 6.134227e-01 -3.540567e-02 6.447920e-01
1.939998e+01 -4.852473e-02 6.277690e-01 -5.331343e-02 6.169613e-01 -3.627509e-02 6.471389e-01
1.949808e+01 -4.976363e-02 6.308798e-01 -5.468329e-02 6.203978e-01 -3.717125e-02 6.494303e-01
1.959908e+01 -5.103427e-02 6.341323e-01 -5.610027e-02 6.239684e-01 -3.807381e-02 6.519093e-01
1.969706e+01 -5.226370e-02 6.373566e-01 -5.748005e-02 6.275015e-01 -3.893154e-02 6.543749e-01
1.979797e+01 -5.352377e-02 6.407371e-01 -5.888842e-02 6.312239e-01 -3.981016e-02 6.569398e-01
1.989886e+01 -5.477823e-02 6.440646e-01 -6.029683e-02 6.348938e-01 -4.068162e-02 6.594778e-01
1.999974e+01 -5.601475e-02 6.474072e-01 -6.169204e-02 6.385753e-01 -4.153193e-02 6.620088e-01
2.009762e+01 -5.719204e-02 6.506830e-01 -6.301545e-02 6.422204e-01 -4.236110e-02 6.644104e-01
2.019850e+01 -5.838098e-02 6.540817e-01 -6.435833e-02 6.460123e-01 -4.317502e-02 6.669178e-01
2.029945e+01 -5.956507e-02 6.575110e-01 -6.570958e-02 6.498308e-01 -4.395940e-02 6.694503e-01
2.039753e+01 -6.069920e-02 6.608697e-01 -6.703096e-02 6.535580e-01 -4.465385e-02 6.719432e-01
2.049858e+01 -6.185600e-02 6.643752e-01 -6.838529e-02 6.574577e-01 -4.534959e-02 6.745230e-01
2.059968e+01 -6.299066e-02 6.678727e-01 -6.972616e-02 6.613714e-01 -4.602072e-02 6.770748e-01
2.069789e+01 -6.408932e-02 6.713161e-01 -7.101957e-02 6.652219e-01 -4.666484e-02 6.795660e-01
2.079919e+01 -6.519565e-02 6.748492e-01 -7.233362e-02 6.691658e-01 -4.729208e-02 6.821211e-01
2.089763e+01 -6.628501e-02 6.782765e-01 -7.363118e-02 6.729840e-01 -4.788354e-02 6.846230e-01
2.099921e+01 -6.741849e-02 6.818563e-01 -7.499155e-02 6.769619e-01 -4.846735e-02 6.872264e-01
2.109785e+01 -6.851171e-02 6.853450e-01 -7.631063e-02 6.808351e-01 -4.903241e-02 6.897375e-01
2.119945e+01 -6.965440e-02 6.889740e-01 -7.767759e-02 6.848693e-01 -4.961196e-02 6.922849e-01
2.129805e+01 -7.077415e-02 6.924923e-01 -7.902362e-02 6.887850e-01 -5.016867e-02 6.947157e-01
2.139980e+01 -7.197408e-02 6.961033e-01 -8.046225e-02 6.928332e-01 -5.076440e-02 6.971581e-01
